Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
telefone solicitar,cancelamento,caso emergência dirijar se a o atendimento presencial,Documentação,telefone solicitar,b-serviço b-tempo,neutro,documentação
telefone verificar,serviço y,serviço y disponível em o unidade,Emergência,telefone verificar,b-atendimento b-doc,urgente,emergência
cancelar atendimento,agendamento,atendimento presencial,Cancelamento,cancelar atendimento,b-atendimento b-doc,frustrar,cancelamento
horário verificar,cancelamento,caso emergência dirijar se a o atendimento presencial,Emergência,horário verificar,b-tempo b-serviço,neutro,emergência
telefone solicitar,serviço x,atendimento presencial,Documentação,telefone solicitar,b-doc b-doc,neutro,documentação
preciso ajuda solicitar,serviço x,serviço x acer portal serviço,Encaminhamento,preciso ajudar solicitar,b-doc b-serviço,neutro,encaminhamento
obter informação cadastrar,cancelamento,cancelamento acer portal serviço,Informações,obter informação cadastrar,b-tempo b-doc,neutro,informação
telefone solicitar,serviço y,cancelar contato por o portal,Encaminhamento,telefone solicitar,b-doc b-tempo,urgente,encaminhamento
cancelar atendimento,cancelamento,cancelar contato por o portal,Encaminhamento,cancelar atendimento,b-atendimento b-atendimento,neutro,encaminhamento
haver consultar presencial,serviço y,serviço y levar documento b.,Informações,haver consultar presencial,b-tempo,neutro,informação
haver agendar presencial,cancelamento,cancelamento disponível em o unidade,Contato,haver agendar presencial,b-serviço,neutro,contato
encontrar informação obter informação,encaminhamento,horário encaminhamento 8h a o 18h,Encaminhamento,encontrar informação obter informação,b-serviço b-tempo b-serviço b-atendimento,confuso,encaminhamento
preciso ajuda consultar,serviço x,caso emergência dirijar se a o atendimento presencial,Encaminhamento,preciso ajudar consultar,b-doc b-tempo,neutro,encaminhamento
preciso ajuda agendar,contato,encontrar informação contato site,Documentação,preciso ajudar agendar,b-tempo b-doc,frustrar,documentação
solicitar atendimento,cancelamento,horário cancelamento 8h a o 18h,Encaminhamento,solicitar atendimento,b-serviço b-atendimento b-doc,frustrar,encaminhamento
haver consultar presencial,cancelamento,cancelamento levar documento b.,Cancelamento,haver consultar presencial,b-tempo,neutro,cancelamento
cancelar atendimento,agendamento,encontrar informação agendamento site,Informações,cancelar atendimento,b-tempo b-doc,neutro,informação
telefone agendar,serviço y,atendimento presencial,Informações,telefone agendar,b-serviço b-atendimento,frustrar,informação
consultar atendimento,serviço y,precisar ajuda atendente a o disposição,Documentação,consultar atendimento,b-tempo b-atendimento b-atendimento,frustrar,documentação
documento necessário solicitar,encaminhamento,encaminhamento disponível em o unidade,Cancelamento,documento necessário solicitar,b-atendimento b-doc b-serviço,neutro,cancelamento
haver obter informação presencial,emergência,emergência acer portal serviço,Informações,haver obter informação presencial,b-tempo b-doc,neutro,informação
telefone cadastrar,contato,precisar ajuda atendente a o disposição,Encaminhamento,telefone cadastrar,b-atendimento b-serviço,neutro,encaminhamento
verificar atendimento,encaminhamento,encaminhamento acer portal serviço,Documentação,verificar atendimento,b-serviço b-doc b-atendimento,confuso,documentação
obter informação cadastrar,serviço y,serviço y levar documento b.,Documentação,obter informação cadastrar,b-tempo b-atendimento,neutro,documentação
preciso ajuda solicitar,serviço y,precisar ajuda atendente a o disposição,Contato,preciso ajudar solicitar,b-serviço b-serviço,confuso,contato
agendar atendimento,informação,encontrar informação informação site,Informações,agendar atendimento,b-serviço b-atendimento b-atendimento,urgente,informação
cancelar atendimento,encaminhamento,encaminhamento acer portal serviço,Informações,cancelar atendimento,b-doc b-doc,neutro,informação
telefone agendar,agendamento,horário agendamento 8h a o 18h,Informações,telefone agendar,b-tempo b-atendimento,confuso,informação
telefone obter informação,emergência,emergência levar documento b.,Contato,telefone obter informação,b-atendimento b-tempo b-doc,frustrar,contato
haver agendar presencial,serviço x,encontrar informação serviço x site,Contato,haver agendar presencial,b-serviço,urgente,contato
haver cadastrar presencial,serviço y,horário serviço y 8h a o 18h,Encaminhamento,haver cadastrar presencial,b-tempo,frustrar,encaminhamento
encontrar informação solicitar,contato,contato acer portal serviço,Documentação,encontrar informação solicitar,b-doc b-doc b-serviço,neutro,documentação
encontrar informação cadastrar,emergência,contato por o xx xxxx-xxxx,Informações,encontrar informação cadastrar,b-doc b-atendimento b-atendimento,frustrar,informação
telefone obter informação,emergência,cancelar contato por o portal,Emergência,telefone obter informação,b-doc b-doc b-doc,frustrar,emergência
telefone agendar,encaminhamento,encaminhamento disponível em o unidade,Contato,telefone agendar,b-doc b-serviço,frustrar,contato
horário verificar,serviço x,encontrar informação serviço x site,Documentação,horário verificar,b-serviço b-atendimento,neutro,documentação
horário agendar,serviço x,horário serviço x 8h a o 18h,Encaminhamento,horário agendar,b-atendimento b-doc,confuso,encaminhamento
cancelar atendimento,agendamento,cancelar contato por o portal,Informações,cancelar atendimento,b-atendimento b-serviço,urgente,informação
haver agendar presencial,encaminhamento,encaminhamento disponível em o unidade,Contato,haver agendar presencial,b-serviço,confuso,contato
cancelar atendimento,contato,caso emergência dirijar se a o atendimento presencial,Cancelamento,cancelar atendimento,b-tempo b-serviço,frustrar,cancelamento
obter informação obter informação,informação,informação acer portal serviço,Informações,obter informação obter informação,b-doc b-tempo b-atendimento,urgente,informação
cadastrar atendimento,encaminhamento,encaminhamento disponível em o unidade,Documentação,cadastrar atendimento,b-tempo b-doc b-tempo,neutro,documentação
agendar atendimento,informação,informação disponível em o unidade,Documentação,agendar atendimento,b-serviço b-tempo b-serviço,neutro,documentação
preciso ajuda agendar,contato,contato disponível em o unidade,Emergência,preciso ajudar agendar,b-serviço b-doc,confuso,emergência
obter informação solicitar,encaminhamento,precisar ajuda atendente a o disposição,Emergência,obter informação solicitar,b-doc b-doc,neutro,emergência
preciso ajuda consultar,encaminhamento,contato por o xx xxxx-xxxx,Informações,preciso ajudar consultar,b-serviço b-doc,urgente,informação
haver cadastrar presencial,contato,contato disponível em o unidade,Contato,haver cadastrar presencial,b-atendimento,neutro,contato
documento necessário verificar,serviço y,caso emergência dirijar se a o atendimento presencial,Contato,documento necessário verificar,b-doc b-atendimento b-atendimento,neutro,contato
obter informação atendimento,emergência,cancelar contato por o portal,Documentação,obter informação atendimento,b-serviço b-serviço b-atendimento b-doc,frustrar,documentação
obter informação agendar,contato,encontrar informação contato site,Encaminhamento,obter informação agendar,b-doc b-atendimento,urgente,encaminhamento
encontrar informação solicitar,emergência,contato por o xx xxxx-xxxx,Contato,encontrar informação solicitar,b-atendimento b-serviço b-doc,neutro,contato
obter informação solicitar,informação,informação levar documento b.,Informações,obter informação solicitar,b-doc b-serviço,neutro,informação
preciso ajuda verificar,cancelamento,horário cancelamento 8h a o 18h,Informações,preciso ajudar verificar,b-serviço b-serviço,confuso,informação
documento necessário cadastrar,contato,atendimento presencial,Informações,documento necessário cadastrar,b-serviço b-tempo b-serviço,urgente,informação
haver solicitar presencial,cancelamento,atendimento presencial,Encaminhamento,haver solicitar presencial,b-doc,neutro,encaminhamento
verificar atendimento,cancelamento,cancelar contato por o portal,Cancelamento,verificar atendimento,b-doc b-serviço b-serviço,urgente,cancelamento
preciso ajuda cadastrar,agendamento,encontrar informação agendamento site,Encaminhamento,preciso ajudar cadastrar,b-doc b-doc,confuso,encaminhamento
documento necessário obter informação,cancelamento,cancelar contato por o portal,Emergência,documento necessário obter informação,b-doc b-atendimento b-doc b-doc,neutro,emergência
obter informação obter informação,agendamento,agendamento levar documento b.,Documentação,obter informação obter informação,b-serviço b-serviço b-tempo,frustrar,documentação
preciso ajuda consultar,serviço y,atendimento presencial,Encaminhamento,preciso ajudar consultar,b-tempo b-tempo,confuso,encaminhamento
preciso ajuda cadastrar,agendamento,encontrar informação agendamento site,Informações,preciso ajudar cadastrar,b-doc b-atendimento,neutro,informação
obter informação agendar,agendamento,atendimento presencial,Informações,obter informação agendar,b-tempo b-tempo,confuso,informação
caso emergência,agendamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,caso emergência,b-atendimento b-tempo b-atendimento,urgente,encaminhamento
agendar atendimento,serviço y,caso emergência dirijar se a o atendimento presencial,Cancelamento,agendar atendimento,b-atendimento b-tempo b-doc,neutro,cancelamento
cadastrar atendimento,cancelamento,caso emergência dirijar se a o atendimento presencial,Informações,cadastrar atendimento,b-doc b-serviço b-serviço,neutro,informação
obter informação atendimento,serviço y,serviço y acer portal serviço,Encaminhamento,obter informação atendimento,b-doc b-serviço b-serviço b-doc,confuso,encaminhamento
documento necessário obter informação,serviço x,encontrar informação serviço x site,Cancelamento,documento necessário obter informação,b-tempo b-serviço b-doc b-doc,confuso,cancelamento
horário cadastrar,serviço x,contato por o xx xxxx-xxxx,Emergência,horário cadastrar,b-serviço b-tempo,neutro,emergência
encontrar informação obter informação,informação,contato por o xx xxxx-xxxx,Encaminhamento,encontrar informação obter informação,b-serviço b-serviço b-atendimento b-tempo,urgente,encaminhamento
horário cadastrar,agendamento,caso emergência dirijar se a o atendimento presencial,Informações,horário cadastrar,b-atendimento b-doc,confuso,informação
solicitar atendimento,informação,contato por o xx xxxx-xxxx,Contato,solicitar atendimento,b-tempo b-tempo b-tempo,frustrar,contato
obter informação verificar,agendamento,precisar ajuda atendente a o disposição,Informações,obter informação verificar,b-tempo b-atendimento,confuso,informação
telefone agendar,informação,informação levar documento b.,Contato,telefone agendar,b-tempo b-tempo,confuso,contato
agendar atendimento,contato,atendimento presencial,Encaminhamento,agendar atendimento,b-atendimento b-serviço b-atendimento,frustrar,encaminhamento
caso emergência,encaminhamento,horário encaminhamento 8h a o 18h,Encaminhamento,caso emergência,b-doc b-serviço b-serviço,neutro,encaminhamento
preciso ajuda solicitar,informação,informação acer portal serviço,Encaminhamento,preciso ajudar solicitar,b-tempo b-atendimento,frustrar,encaminhamento
telefone cadastrar,informação,cancelar contato por o portal,Encaminhamento,telefone cadastrar,b-atendimento b-atendimento,confuso,encaminhamento
obter informação atendimento,serviço x,caso emergência dirijar se a o atendimento presencial,Contato,obter informação atendimento,b-tempo b-atendimento b-serviço b-tempo,confuso,contato
encontrar informação solicitar,emergência,emergência acer portal serviço,Informações,encontrar informação solicitar,b-tempo b-tempo b-doc,frustrar,informação
cancelar atendimento,agendamento,precisar ajuda atendente a o disposição,Contato,cancelar atendimento,b-atendimento b-serviço,urgente,contato
haver consultar presencial,serviço x,precisar ajuda atendente a o disposição,Contato,haver consultar presencial,b-tempo,neutro,contato
obter informação obter informação,serviço y,serviço y levar documento b.,Encaminhamento,obter informação obter informação,b-atendimento b-tempo b-tempo,neutro,encaminhamento
preciso ajuda agendar,encaminhamento,encontrar informação encaminhamento site,Informações,preciso ajudar agendar,b-tempo b-atendimento,urgente,informação
caso emergência,informação,cancelar contato por o portal,Emergência,caso emergência,b-tempo b-tempo b-tempo,neutro,emergência
caso emergência,serviço x,atendimento presencial,Informações,caso emergência,b-serviço b-tempo b-serviço,urgente,informação
caso emergência,cancelamento,precisar ajuda atendente a o disposição,Encaminhamento,caso emergência,b-serviço b-atendimento b-serviço,urgente,encaminhamento
preciso ajuda consultar,encaminhamento,cancelar contato por o portal,Informações,preciso ajudar consultar,b-serviço b-serviço,urgente,informação
telefone solicitar,informação,encontrar informação informação site,Encaminhamento,telefone solicitar,b-atendimento b-doc,urgente,encaminhamento
horário consultar,cancelamento,cancelar contato por o portal,Contato,horário consultar,b-serviço b-tempo,neutro,contato
obter informação atendimento,informação,cancelar contato por o portal,Encaminhamento,obter informação atendimento,b-doc b-serviço b-atendimento b-doc,neutro,encaminhamento
obter informação agendar,informação,atendimento presencial,Documentação,obter informação agendar,b-atendimento b-atendimento,neutro,documentação
solicitar atendimento,serviço x,caso emergência dirijar se a o atendimento presencial,Informações,solicitar atendimento,b-serviço b-doc b-doc,frustrar,informação
obter informação verificar,emergência,caso emergência dirijar se a o atendimento presencial,Cancelamento,obter informação verificar,b-doc b-atendimento,urgente,cancelamento
caso emergência,informação,horário informação 8h a o 18h,Cancelamento,caso emergência,b-serviço b-tempo b-atendimento,frustrar,cancelamento
haver solicitar presencial,encaminhamento,atendimento presencial,Encaminhamento,haver solicitar presencial,b-doc,neutro,encaminhamento
encontrar informação solicitar,emergência,contato por o xx xxxx-xxxx,Emergência,encontrar informação solicitar,b-doc b-doc b-tempo,confuso,emergência
cancelar atendimento,emergência,emergência acer portal serviço,Encaminhamento,cancelar atendimento,b-doc b-atendimento,frustrar,encaminhamento
obter informação solicitar,agendamento,cancelar contato por o portal,Encaminhamento,obter informação solicitar,b-doc b-tempo,neutro,encaminhamento
obter informação consultar,informação,encontrar informação informação site,Cancelamento,obter informação consultar,b-tempo b-doc,urgente,cancelamento
preciso ajuda consultar,serviço y,horário serviço y 8h a o 18h,Encaminhamento,preciso ajudar consultar,b-tempo b-serviço,neutro,encaminhamento
cancelar atendimento,serviço x,encontrar informação serviço x site,Documentação,cancelar atendimento,b-doc b-serviço,neutro,documentação
cancelar atendimento,serviço x,precisar ajuda atendente a o disposição,Cancelamento,cancelar atendimento,b-atendimento b-tempo,urgente,cancelamento
encontrar informação verificar,emergência,emergência disponível em o unidade,Informações,encontrar informação verificar,b-doc b-serviço b-tempo,neutro,informação
telefone verificar,contato,contato disponível em o unidade,Informações,telefone verificar,b-tempo b-tempo,confuso,informação
cancelar atendimento,emergência,cancelar contato por o portal,Informações,cancelar atendimento,b-doc b-doc,frustrar,informação
obter informação solicitar,cancelamento,atendimento presencial,Contato,obter informação solicitar,b-atendimento b-atendimento,urgente,contato
caso emergência,serviço x,precisar ajuda atendente a o disposição,Cancelamento,caso emergência,b-atendimento b-doc b-tempo,frustrar,cancelamento
documento necessário consultar,serviço y,serviço y levar documento b.,Informações,documento necessário consultar,b-serviço b-serviço b-serviço,neutro,informação
haver consultar presencial,agendamento,agendamento disponível em o unidade,Encaminhamento,haver consultar presencial,b-doc,neutro,encaminhamento
preciso ajuda consultar,contato,caso emergência dirijar se a o atendimento presencial,Informações,preciso ajudar consultar,b-atendimento b-doc,neutro,informação
documento necessário obter informação,serviço x,encontrar informação serviço x site,Encaminhamento,documento necessário obter informação,b-doc b-atendimento b-doc b-doc,frustrar,encaminhamento
encontrar informação cadastrar,contato,cancelar contato por o portal,Encaminhamento,encontrar informação cadastrar,b-serviço b-doc b-atendimento,neutro,encaminhamento
obter informação cadastrar,serviço y,serviço y disponível em o unidade,Contato,obter informação cadastrar,b-tempo b-serviço,confuso,contato
telefone obter informação,contato,contato acer portal serviço,Cancelamento,telefone obter informação,b-tempo b-serviço b-serviço,urgente,cancelamento
preciso ajuda cadastrar,emergência,atendimento presencial,Encaminhamento,preciso ajudar cadastrar,b-atendimento b-serviço,urgente,encaminhamento
horário solicitar,encaminhamento,encaminhamento acer portal serviço,Encaminhamento,horário solicitar,b-serviço b-tempo,frustrar,encaminhamento
documento necessário agendar,encaminhamento,encontrar informação encaminhamento site,Emergência,documento necessário agendar,b-doc b-doc b-doc,neutro,emergência
horário verificar,encaminhamento,encontrar informação encaminhamento site,Informações,horário verificar,b-doc b-atendimento,confuso,informação
horário cadastrar,informação,contato por o xx xxxx-xxxx,Contato,horário cadastrar,b-doc b-atendimento,urgente,contato
encontrar informação obter informação,contato,contato por o xx xxxx-xxxx,Informações,encontrar informação obter informação,b-doc b-atendimento b-doc b-tempo,confuso,informação
telefone verificar,serviço y,caso emergência dirijar se a o atendimento presencial,Cancelamento,telefone verificar,b-serviço b-tempo,urgente,cancelamento
caso emergência,emergência,emergência disponível em o unidade,Cancelamento,caso emergência,b-doc b-doc b-serviço,frustrar,cancelamento
caso emergência,encaminhamento,cancelar contato por o portal,Cancelamento,caso emergência,b-atendimento b-serviço b-doc,confuso,cancelamento
telefone obter informação,serviço y,serviço y disponível em o unidade,Documentação,telefone obter informação,b-tempo b-doc b-serviço,frustrar,documentação
telefone obter informação,encaminhamento,contato por o xx xxxx-xxxx,Documentação,telefone obter informação,b-serviço b-doc b-tempo,neutro,documentação
obter informação verificar,serviço y,encontrar informação serviço y site,Documentação,obter informação verificar,b-doc b-serviço,frustrar,documentação
preciso ajuda verificar,informação,caso emergência dirijar se a o atendimento presencial,Informações,preciso ajudar verificar,b-tempo b-serviço,frustrar,informação
caso emergência,serviço x,contato por o xx xxxx-xxxx,Cancelamento,caso emergência,b-doc b-serviço b-tempo,neutro,cancelamento
encontrar informação verificar,encaminhamento,encontrar informação encaminhamento site,Emergência,encontrar informação verificar,b-serviço b-atendimento b-tempo,confuso,emergência
obter informação obter informação,agendamento,contato por o xx xxxx-xxxx,Informações,obter informação obter informação,b-serviço b-atendimento b-atendimento,neutro,informação
obter informação atendimento,agendamento,agendamento levar documento b.,Cancelamento,obter informação atendimento,b-doc b-tempo b-doc b-tempo,confuso,cancelamento
preciso ajuda agendar,serviço y,atendimento presencial,Documentação,preciso ajudar agendar,b-serviço b-atendimento,confuso,documentação
haver consultar presencial,encaminhamento,atendimento presencial,Contato,haver consultar presencial,b-atendimento,confuso,contato
documento necessário solicitar,serviço x,cancelar contato por o portal,Encaminhamento,documento necessário solicitar,b-atendimento b-serviço b-atendimento,urgente,encaminhamento
documento necessário consultar,agendamento,atendimento presencial,Encaminhamento,documento necessário consultar,b-atendimento b-doc b-doc,frustrar,encaminhamento
cadastrar atendimento,serviço x,serviço x disponível em o unidade,Informações,cadastrar atendimento,b-serviço b-serviço b-atendimento,neutro,informação
solicitar atendimento,serviço y,horário serviço y 8h a o 18h,Encaminhamento,solicitar atendimento,b-serviço b-serviço b-atendimento,neutro,encaminhamento
horário consultar,serviço y,atendimento presencial,Documentação,horário consultar,b-serviço b-atendimento,frustrar,documentação
cancelar atendimento,cancelamento,cancelamento disponível em o unidade,Cancelamento,cancelar atendimento,b-atendimento b-atendimento,confuso,cancelamento
preciso ajuda cadastrar,contato,contato acer portal serviço,Informações,preciso ajudar cadastrar,b-serviço b-atendimento,neutro,informação
cancelar atendimento,agendamento,agendamento disponível em o unidade,Cancelamento,cancelar atendimento,b-tempo b-serviço,frustrar,cancelamento
caso emergência,agendamento,atendimento presencial,Documentação,caso emergência,b-tempo b-tempo b-atendimento,neutro,documentação
encontrar informação solicitar,serviço y,atendimento presencial,Informações,encontrar informação solicitar,b-atendimento b-doc b-atendimento,neutro,informação
documento necessário verificar,informação,horário informação 8h a o 18h,Documentação,documento necessário verificar,b-serviço b-atendimento b-doc,frustrar,documentação
verificar atendimento,cancelamento,precisar ajuda atendente a o disposição,Informações,verificar atendimento,b-serviço b-doc b-atendimento,neutro,informação
solicitar atendimento,emergência,cancelar contato por o portal,Encaminhamento,solicitar atendimento,b-atendimento b-doc b-tempo,confuso,encaminhamento
horário consultar,informação,contato por o xx xxxx-xxxx,Encaminhamento,horário consultar,b-atendimento b-atendimento,neutro,encaminhamento
cancelar atendimento,emergência,atendimento presencial,Encaminhamento,cancelar atendimento,b-serviço b-tempo,neutro,encaminhamento
cancelar atendimento,contato,cancelar contato por o portal,Emergência,cancelar atendimento,b-tempo b-serviço,neutro,emergência
caso emergência,serviço y,serviço y levar documento b.,Informações,caso emergência,b-tempo b-serviço b-doc,frustrar,informação
telefone agendar,encaminhamento,encaminhamento disponível em o unidade,Documentação,telefone agendar,b-serviço b-atendimento,frustrar,documentação
cancelar atendimento,emergência,encontrar informação emergência site,Emergência,cancelar atendimento,b-doc b-doc,urgente,emergência
horário solicitar,serviço x,serviço x disponível em o unidade,Cancelamento,horário solicitar,b-serviço b-atendimento,neutro,cancelamento
caso emergência,informação,encontrar informação informação site,Informações,caso emergência,b-atendimento b-doc b-atendimento,confuso,informação
preciso ajuda solicitar,serviço y,precisar ajuda atendente a o disposição,Contato,preciso ajudar solicitar,b-tempo b-tempo,frustrar,contato
encontrar informação consultar,encaminhamento,atendimento presencial,Informações,encontrar informação consultar,b-tempo b-atendimento b-atendimento,neutro,informação
haver cadastrar presencial,emergência,horário emergência 8h a o 18h,Emergência,haver cadastrar presencial,b-doc,confuso,emergência
horário consultar,cancelamento,cancelamento disponível em o unidade,Encaminhamento,horário consultar,b-serviço b-atendimento,confuso,encaminhamento
haver verificar presencial,cancelamento,cancelamento acer portal serviço,Encaminhamento,haver verificar presencial,b-serviço,confuso,encaminhamento
preciso ajuda solicitar,emergência,emergência levar documento b.,Encaminhamento,preciso ajudar solicitar,b-serviço b-tempo,confuso,encaminhamento
documento necessário obter informação,informação,encontrar informação informação site,Contato,documento necessário obter informação,b-atendimento b-tempo b-tempo b-tempo,neutro,contato
cadastrar atendimento,serviço x,horário serviço x 8h a o 18h,Documentação,cadastrar atendimento,b-tempo b-serviço b-doc,confuso,documentação
cancelar atendimento,agendamento,encontrar informação agendamento site,Emergência,cancelar atendimento,b-tempo b-atendimento,confuso,emergência
caso emergência,contato,horário contato 8h a o 18h,Encaminhamento,caso emergência,b-tempo b-tempo b-tempo,neutro,encaminhamento
cancelar atendimento,serviço y,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-atendimento b-doc,frustrar,informação
preciso ajuda solicitar,agendamento,encontrar informação agendamento site,Informações,preciso ajudar solicitar,b-atendimento b-serviço,neutro,informação
haver verificar presencial,encaminhamento,encaminhamento levar documento b.,Encaminhamento,haver verificar presencial,b-serviço,neutro,encaminhamento
obter informação solicitar,informação,informação acer portal serviço,Documentação,obter informação solicitar,b-tempo b-doc,neutro,documentação
documento necessário cadastrar,serviço x,encontrar informação serviço x site,Emergência,documento necessário cadastrar,b-doc b-tempo b-serviço,urgente,emergência
encontrar informação solicitar,contato,contato disponível em o unidade,Emergência,encontrar informação solicitar,b-atendimento b-serviço b-doc,confuso,emergência
telefone solicitar,serviço y,precisar ajuda atendente a o disposição,Emergência,telefone solicitar,b-doc b-doc,neutro,emergência
caso emergência,agendamento,agendamento disponível em o unidade,Informações,caso emergência,b-doc b-serviço b-serviço,neutro,informação
telefone solicitar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,telefone solicitar,b-doc b-doc,neutro,cancelamento
preciso ajuda cadastrar,serviço x,serviço x disponível em o unidade,Documentação,preciso ajudar cadastrar,b-tempo b-atendimento,neutro,documentação
documento necessário agendar,emergência,contato por o xx xxxx-xxxx,Informações,documento necessário agendar,b-atendimento b-atendimento b-tempo,neutro,informação
haver cadastrar presencial,emergência,caso emergência dirijar se a o atendimento presencial,Informações,haver cadastrar presencial,b-atendimento,neutro,informação
preciso ajuda obter informação,agendamento,caso emergência dirijar se a o atendimento presencial,Documentação,preciso ajudar obter informação,b-serviço b-atendimento b-serviço,confuso,documentação
documento necessário cadastrar,encaminhamento,cancelar contato por o portal,Informações,documento necessário cadastrar,b-doc b-atendimento b-doc,neutro,informação
horário obter informação,emergência,contato por o xx xxxx-xxxx,Contato,horário obter informação,b-doc b-doc b-doc,confuso,contato
caso emergência,emergência,encontrar informação emergência site,Emergência,caso emergência,b-tempo b-tempo b-doc,frustrar,emergência
cancelar atendimento,agendamento,atendimento presencial,Cancelamento,cancelar atendimento,b-serviço b-tempo,neutro,cancelamento
cancelar atendimento,contato,horário contato 8h a o 18h,Informações,cancelar atendimento,b-serviço b-doc,urgente,informação
haver obter informação presencial,serviço x,contato por o xx xxxx-xxxx,Documentação,haver obter informação presencial,b-atendimento b-serviço,frustrar,documentação
documento necessário agendar,cancelamento,atendimento presencial,Informações,documento necessário agendar,b-serviço b-tempo b-tempo,urgente,informação
documento necessário verificar,agendamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,documento necessário verificar,b-atendimento b-atendimento b-doc,confuso,encaminhamento
cancelar atendimento,informação,informação levar documento b.,Documentação,cancelar atendimento,b-tempo b-tempo,neutro,documentação
horário obter informação,emergência,horário emergência 8h a o 18h,Encaminhamento,horário obter informação,b-serviço b-tempo b-atendimento,confuso,encaminhamento
agendar atendimento,emergência,caso emergência dirijar se a o atendimento presencial,Informações,agendar atendimento,b-tempo b-doc b-doc,confuso,informação
encontrar informação verificar,cancelamento,encontrar informação cancelamento site,Encaminhamento,encontrar informação verificar,b-doc b-serviço b-doc,neutro,encaminhamento
caso emergência,informação,encontrar informação informação site,Documentação,caso emergência,b-atendimento b-tempo b-tempo,urgente,documentação
obter informação obter informação,cancelamento,cancelar contato por o portal,Encaminhamento,obter informação obter informação,b-serviço b-serviço b-tempo,confuso,encaminhamento
haver consultar presencial,serviço x,serviço x disponível em o unidade,Cancelamento,haver consultar presencial,b-tempo,neutro,cancelamento
telefone consultar,serviço x,atendimento presencial,Emergência,telefone consultar,b-serviço b-tempo,frustrar,emergência
encontrar informação solicitar,agendamento,atendimento presencial,Documentação,encontrar informação solicitar,b-serviço b-atendimento b-doc,frustrar,documentação
caso emergência,agendamento,agendamento levar documento b.,Documentação,caso emergência,b-doc b-serviço b-atendimento,neutro,documentação
horário cadastrar,contato,cancelar contato por o portal,Contato,horário cadastrar,b-tempo b-doc,neutro,contato
cancelar atendimento,serviço x,encontrar informação serviço x site,Informações,cancelar atendimento,b-serviço b-atendimento,confuso,informação
cancelar atendimento,serviço x,serviço x acer portal serviço,Documentação,cancelar atendimento,b-serviço b-tempo,confuso,documentação
cancelar atendimento,encaminhamento,contato por o xx xxxx-xxxx,Informações,cancelar atendimento,b-tempo b-serviço,confuso,informação
documento necessário agendar,emergência,contato por o xx xxxx-xxxx,Encaminhamento,documento necessário agendar,b-tempo b-atendimento b-tempo,frustrar,encaminhamento
encontrar informação verificar,informação,precisar ajuda atendente a o disposição,Encaminhamento,encontrar informação verificar,b-serviço b-doc b-doc,frustrar,encaminhamento
telefone obter informação,emergência,cancelar contato por o portal,Documentação,telefone obter informação,b-doc b-doc b-atendimento,frustrar,documentação
horário solicitar,serviço y,serviço y levar documento b.,Encaminhamento,horário solicitar,b-tempo b-doc,confuso,encaminhamento
preciso ajuda obter informação,contato,contato levar documento b.,Cancelamento,preciso ajudar obter informação,b-serviço b-serviço b-doc,frustrar,cancelamento
cadastrar atendimento,emergência,atendimento presencial,Documentação,cadastrar atendimento,b-serviço b-atendimento b-atendimento,confuso,documentação
agendar atendimento,contato,caso emergência dirijar se a o atendimento presencial,Encaminhamento,agendar atendimento,b-tempo b-serviço b-serviço,urgente,encaminhamento
caso emergência,agendamento,encontrar informação agendamento site,Encaminhamento,caso emergência,b-atendimento b-serviço b-serviço,neutro,encaminhamento
cancelar atendimento,emergência,emergência acer portal serviço,Encaminhamento,cancelar atendimento,b-atendimento b-serviço,frustrar,encaminhamento
verificar atendimento,contato,precisar ajuda atendente a o disposição,Informações,verificar atendimento,b-atendimento b-serviço b-tempo,neutro,informação
cadastrar atendimento,cancelamento,encontrar informação cancelamento site,Emergência,cadastrar atendimento,b-serviço b-atendimento b-serviço,frustrar,emergência
haver consultar presencial,serviço y,serviço y levar documento b.,Documentação,haver consultar presencial,b-atendimento,neutro,documentação
documento necessário cadastrar,serviço y,contato por o xx xxxx-xxxx,Informações,documento necessário cadastrar,b-doc b-atendimento b-doc,neutro,informação
encontrar informação cadastrar,serviço y,serviço y acer portal serviço,Informações,encontrar informação cadastrar,b-atendimento b-atendimento b-tempo,urgente,informação
obter informação consultar,serviço y,serviço y disponível em o unidade,Encaminhamento,obter informação consultar,b-tempo b-tempo,neutro,encaminhamento
haver agendar presencial,contato,contato acer portal serviço,Encaminhamento,haver agendar presencial,b-atendimento,frustrar,encaminhamento
telefone verificar,emergência,horário emergência 8h a o 18h,Informações,telefone verificar,b-serviço b-atendimento,neutro,informação
encontrar informação solicitar,cancelamento,encontrar informação cancelamento site,Cancelamento,encontrar informação solicitar,b-serviço b-serviço b-serviço,confuso,cancelamento
telefone obter informação,serviço y,horário serviço y 8h a o 18h,Documentação,telefone obter informação,b-serviço b-doc b-doc,neutro,documentação
telefone solicitar,serviço y,atendimento presencial,Informações,telefone solicitar,b-tempo b-atendimento,confuso,informação
telefone consultar,informação,caso emergência dirijar se a o atendimento presencial,Informações,telefone consultar,b-serviço b-atendimento,urgente,informação
